I feel like I can be myself at my volunteer activity.,The tasks I must do at my volunteer activity are in line with what I really want to do.,I am free to express my ideas and opinions on the volunteer activity.,I really master my tasks at my volunteer activity.,I feel competent at my volunteer activity.,I have been able to learn interesting new skills on my volunteer activity.,"At my volunteer activity, I feel part of a group.","At my volunteer activity, I can talk with people about things that really matter to me.",People at my volunteer activity care about me.,"Considering everything, I am satisfied with my volunteer activity.",The team has a great deal of personal meaning for me.,"If I could choose, I will be volunteering one year from now.",I share my ideas with others to improve the team.,The things that I value in life are very similar to the things that the team values.,I feel understood by my supervisor.,My supervisor encourages me to ask questions.,My supervisor listens to how I would like to do things.,I have the opportunity to develop my social network in my volunteer activity.,People I work with are friendly.,The team could do more for me.,"My family, friends and my neighborhood appreciate the work I do for the team.",I am fairly rewarded considering the responsibilities I have.,I am fairly rewarded for the work I do well.,I feel my work has positive impact on other people.,"At my volunteer activity, I feel strong and vigorous.",I feel emotionally drained from my volunteer activity.,I feel frustrated by my volunteer activity.,What year were you born in?,What is your gender?,Team Name
Somewhat agree,Neutral,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Sometimes,Very often,Often,,,23.502 Wednesday
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Every time,Never,Never,,,23.502 Wednesday
Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Very often,Never,Never,,,23.502 Wednesday
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very often,Very often,Very often,,,23.502 Wednesday
Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Every time,Rarely,Never,,,23.502 Wednesday
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Rarely,Never,,,23.502 Wednesday
Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Often,Often,Almost never,,,23.502 Wednesday
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every time,Very often,Never,,,23.502 Wednesday
Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Very often,Often,Sometimes,,,23.502 Wednesday
Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Very often,Every time,Rarely,,,23.502 Wednesday
Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,Neutral,Often,Rarely,Almost never,,,23.502 Wednesday
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Almost never,Never,,,23.502 Thursday
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Very often,Never,Never,,,23.502 Thursday
Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Often,Sometimes,,,23.502 Thursday
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every time,Often,Very often,,,23.502 Thursday
Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Sometimes,Sometimes,Almost never,,,23.502 Thursday
Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Sometimes,Sometimes,Rarely,,,23.502 Thursday
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Often,Sometimes,Sometimes,,,23.502 Thursday
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Somewhat disagree,Neutral,Often,Sometimes,Rarely,,,23.502 Thursday
Somewhat agree,Neutral,Somewhat disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neutral,Often,Rarely,Almost never,,,23.502 Thursday
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Rarely,Rarely,,,23.502 Thursday
Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every time,Often,Often,,,23.502 Thursday
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sometimes,Sometimes,Sometimes,,,DRC Team
Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Very often,Sometimes,Rarely,,,DRC Team
Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Neutral,Neutral,Almost never,Sometimes,Sometimes,,,DRC Team
Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Often,Rarely,Almost never,,,DRC Team
Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Rarely,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Very often,Very often,Sometimes,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Very often,Sometimes,Sometimes,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat agree,Very often,Almost never,Never,,,LRCY.23 - Rachaya
Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Very often,Sometimes,Rarely,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very often,Never,Never,,,LRCY.23 - Rachaya
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Every time,Often,Often,,,LRCY.23 - Rachaya
Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Neutral,Somewhat agree,Very often,Very often,Very often,,,LRCY.23 - Rachaya
Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Almost never,Never,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,Strongly agree,Strongly agree,Every time,Every time,Very often,,,LRCY.23 - Rachaya
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Neutral,Strongly agree,Every time,Often,Never,,,LRCY.23 - Rachaya
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Rarely,Never,,,LRCY.23 - Rachaya
Neutral,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Rarely,Almost never,,,LRCY.23 - Rachaya
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Often,Often,Never,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every time,Never,Never,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very often,Never,Never,,,LRCY.23 - Rachaya
Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every time,Sometimes,Sometimes,,,LRCY.23 - Rachaya
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Very often,Sometimes,Never,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Very often,Never,Never,,,LRCY.23 - Rachaya
Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat disagree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Every time,Every time,Often,,,LRCY.23 - Rachaya
Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Very often,Sometimes,Rarely,,,LRCY.23 - Rachaya
Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Every time,Almost never,Never,,,LRCY.23 - Rachaya
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every time,Every time,Every time,,,LRCY.23 - Rachaya
Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Very often,Sometimes,Never,,,LRCY.23 - Rachaya
Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sometimes,Sometimes,Rarely,,,LRCY.23 - Rachaya
Strongly agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Every time,Rarely,Almost never,,,LRCY.23 - Rachaya
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Every time,Rarely,Never,,,LRCY.23 - Rachaya
Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Very often,Never,Never,,,LRCY.23 - Rachaya
Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Very often,Every time,Sometimes,,,LRCY.23 - Rachaya
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Often,Rarely,Rarely,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every time,Never,Never,,,LRCY.23 - Rachaya
Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Rarely,Never,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Every time,Very often,Never,,,LRCY.23 - Rachaya
Neutral,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Very often,Very often,Never,,,LRCY.23 - Rachaya
Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat disagree,Neutral,Neutral,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Every time,Sometimes,Rarely,,,LRCY.23 - Rachaya
Somewhat agree,Strongly agree,Strongly agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Sometimes,Sometimes,Never,,,LRCY.23 - Rachaya
Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Sometimes,Never,Never,,,LRCY.23 - Rachaya
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Sometimes,Sometimes,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Every time,Every time,Never,,,LRCY.23 - Rachaya
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Rarely,Almost never,,,LRCY.23 - Rachaya
Somewhat agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Never,Never,,,LRCY.23 - Rachaya
Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Rarely,Rarely,,,LRCY.23 - Rachaya
Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Often,Sometimes,Almost never,,,LRCY.23 - Rachaya
